trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
0,0.5594889445,0.6137670194,0.9585418563,0.0414581437,0.0175774713,0,0.9240906457,0.9929930668,LINEAR
0,0.7031799591,0.706063376,0.9585418563,0.0414581437,0.0175774713,12.739074624,0.9240906457,0.9929930668,LINEAR
0,0.7416305087,0.7657417757,0.9585418563,0.0414581437,0.0175774713,21.17337911,0.9240906457,0.9929930668,LINEAR
0,0.9801649677,0.9827680829,0.7716336072,0.2283663928,0.0354338906,0,0.7021844579,0.8410827565,LINEAR
0,0.9847601254,0.9880487762,0.7716336072,0.2283663928,0.0354338906,2.1199073224,0.7021844579,0.8410827565,LINEAR
0,1.0028333792,1.0076464398,0.7716336072,0.2283663928,0.0354338906,4.4508111337,0.7021844579,0.8410827565,LINEAR
0,1.0162700111,1.0176445785,0.7716336072,0.2283663928,0.0354338906,13.986499311,0.7021844579,0.8410827565,LINEAR
0,1.0272562212,1.0328148471,0.7716336072,0.2283663928,0.0354338906,3.3200682311,0.7021844579,0.8410827565,LINEAR
0,1.0459796997,1.050813093,0.7716336072,0.2283663928,0.0354338906,5.8498955313,0.7021844579,0.8410827565,LINEAR
0,1.0780397194,1.0900171034,0.7274266158,0.2725733842,0.0373275627,0,0.6542659373,0.8005872942,LINEAR
0,1.1668760148,1.1679849461,0.7193625958,0.2806374042,0.0375614091,0,0.6457435868,0.7929816049,LINEAR
0,1.1736616998,1.1854311693,0.7193625958,0.2806374042,0.0375614091,1.6787172051,0.6457435868,0.7929816049,LINEAR
0,1.1900586033,1.1966623213,0.7193625958,0.2806374042,0.0375614091,3.8519145485,0.6457435868,0.7929816049,LINEAR
0,1.2122164004,1.2158165214,0.7193625958,0.2806374042,0.0375614091,7.9709055972,0.6457435868,0.7929816049,LINEAR
0,1.2342039985,1.2516707433,0.7193625958,0.2806374042,0.0375614091,5.9372105124,0.6457435868,0.7929816049,LINEAR
0,1.2674667985,1.2730174009,0.6441340949,0.3558659051,0.0387129934,0,0.5682580221,0.7200101676,LINEAR
0,1.2837454998,1.2842793061,0.6441340949,0.3558659051,0.0387129934,4.438236048,0.5682580221,0.7200101676,LINEAR
0,1.291419809,1.3030381647,0.6441340949,0.3558659051,0.0387129934,13.088516349,0.5682580221,0.7200101676,LINEAR
0,1.3057185933,1.3095245951,0.6441340949,0.3558659051,0.0387129934,19.099130936,0.5682580221,0.7200101676,LINEAR
