trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
0,0.5080194671,0.5715135445,0.9250651211,0.0749348789,0.0218525786,0,0.882234854,0.9678953882,LINEAR
0,0.574018485,0.5830966215,0.9250651211,0.0749348789,0.0218525786,4.4159002481,0.882234854,0.9678953882,LINEAR
0,0.668964298,0.6817008065,0.9250651211,0.0749348789,0.0218525786,1.1968738523,0.882234854,0.9678953882,LINEAR
0,0.6931256329,0.7221174286,0.9250651211,0.0749348789,0.0218525786,11.195799773,0.882234854,0.9678953882,LINEAR
0,0.7326480093,0.737209376,0.9250651211,0.0749348789,0.0218525786,21.194725694,0.882234854,0.9678953882,LINEAR
0,0.7623639886,0.7699863442,0.9250651211,0.0749348789,0.0218525786,10.042041069,0.882234854,0.9678953882,LINEAR
0,0.8819518019,0.8927161273,0.9250651211,0.0749348789,0.0218525786,16.140177257,0.882234854,0.9678953882,LINEAR
0,1.0496829087,1.0559568679,0.8037013315,0.1962986685,0.0330978406,0,0.7388307558,0.8685719071,LINEAR
0,1.0836182231,1.083974162,0.7459494172,0.2540505828,0.0341748772,0,0.6789678887,0.8129309457,LINEAR
0,1.0901850555,1.0917434884,0.7459494172,0.2540505828,0.0341748772,2.5555948174,0.6789678887,0.8129309457,LINEAR
0,1.1213521427,1.1246498554,0.7459494172,0.2540505828,0.0341748772,0.0025202877,0.6789678887,0.8129309457,LINEAR
0,1.1271347569,1.1336364095,0.7459494172,0.2540505828,0.0341748772,2.2518703511,0.6789678887,0.8129309457,LINEAR
0,1.1460540702,1.1521079919,0.7459494172,0.2540505828,0.0341748772,5.0917059179,0.6789678887,0.8129309457,LINEAR
0,1.1648512763,1.1681202335,0.7459494172,0.2540505828,0.0341748772,7.9446048413,0.6789678887,0.8129309457,LINEAR
0,1.185031721,1.1986195358,0.73981064,0.26018936,0.0343165052,0,0.6725515257,0.8070697543,LINEAR
0,1.2126158365,1.2179279437,0.73981064,0.26018936,0.0343165052,6.7131380125,0.6725515257,0.8070697543,LINEAR
0,1.2363709206,1.240753972,0.73981064,0.26018936,0.0343165052,18.093302631,0.6725515257,0.8070697543,LINEAR
0,1.2465614865,1.2501520402,0.73981064,0.26018936,0.0343165052,20.435060607,0.6725515257,0.8070697543,LINEAR
0,1.2516023638,1.2537901264,0.73981064,0.26018936,0.0343165052,21.75005504,0.6725515257,0.8070697543,LINEAR
0,1.2594113136,1.2617424301,0.73981064,0.26018936,0.0343165052,17.141460679,0.6725515257,0.8070697543,LINEAR
0,1.2674821035,1.2744505716,0.73981064,0.26018936,0.0343165052,19.280290508,0.6725515257,0.8070697543,LINEAR
0,1.2787834645,1.2826157655,0.73981064,0.26018936,0.0343165052,20.595284941,0.6725515257,0.8070697543,LINEAR
0,1.3333764542,1.3513376842,0.73981064,0.26018936,0.0343165052,9.4007374151,0.6725515257,0.8070697543,LINEAR
0,1.3699177644,1.3707324896,0.6262003191,0.3737996809,0.037606679,0,0.5524925827,0.6999080555,LINEAR
0,1.408520872,1.4107214369,0.6262003191,0.3737996809,0.037606679,10.445648484,0.5524925827,0.6999080555,LINEAR
0,1.432486828,1.4360230341,0.6262003191,0.3737996809,0.037606679,12.239109856,0.5524925827,0.6999080555,LINEAR
0,1.4470353081,1.4486937315,0.6262003191,0.3737996809,0.037606679,11.472632653,0.5524925827,0.6999080555,LINEAR
0,1.4563669885,1.4701509311,0.6262003191,0.3737996809,0.037606679,20.835998113,0.5524925827,0.6999080555,LINEAR
0,1.4982741906,1.5083986372,0.6262003191,0.3737996809,0.037606679,20.680763523,0.5524925827,0.6999080555,LINEAR
0,1.5205306375,1.521201205,0.6262003191,0.3737996809,0.037606679,24.386780585,0.5524925827,0.6999080555,LINEAR
0,1.6264320564,1.6300041937,0.5841502309,0.4158497691,0.0388351326,0,0.5080347696,0.6602656921,LINEAR
0,1.6374448354,1.6393446091,0.5841502309,0.4158497691,0.0388351326,2.8427323297,0.5080347696,0.6602656921,LINEAR
0,1.6530897754,1.6534514412,0.5841502309,0.4158497691,0.0388351326,1.6067927742,0.5080347696,0.6602656921,LINEAR
0,1.6703058619,1.6735570194,0.5841502309,0.4158497691,0.0388351326,3.304136653,0.5080347696,0.6602656921,LINEAR
0,1.7223248044,1.7257689507,0.5826980317,0.4173019683,0.0388939056,0,0.5064673775,0.6589286859,LINEAR
0,1.7435817072,1.7444158738,0.5666111576,0.4333888424,0.0394036212,0,0.4893814792,0.6438408359,LINEAR
0,1.7484299149,1.7708902152,0.5666111576,0.4333888424,0.0394036212,14.363118859,0.4893814792,0.6438408359,LINEAR
0,1.8350936965,1.8550003403,0.5666111576,0.4333888424,0.0394036212,8.7531439994,0.4893814792,0.6438408359,LINEAR
0,1.8550019818,1.8613870516,0.5666111576,0.4333888424,0.0394036212,9.2956619695,0.4893814792,0.6438408359,LINEAR
0,1.9061250872,1.9174502058,0.5666111576,0.4333888424,0.0394036212,1.037383079,0.4893814792,0.6438408359,LINEAR
0,1.9371357303,1.9460637193,0.4238268505,0.5761731495,0.0402634842,0,0.3449118715,0.5027418294,LINEAR
0,1.9704392591,1.9710968644,0.4238268505,0.5761731495,0.0402634842,6.3627975804,0.3449118715,0.5027418294,LINEAR
0,1.9745333543,1.9759788512,0.4238268505,0.5761731495,0.0402634842,12.049111068,0.3449118715,0.5027418294,LINEAR
0,1.9900097757,2.0171691225,0.4238268505,0.5761731495,0.0402634842,3.3136851351,0.3449118715,0.5027418294,LINEAR
0,2.0731812544,2.0789205272,0.3814047175,0.6185952825,0.0393936301,0,0.3041946213,0.4586148137,LINEAR
0,2.1220712074,2.1303377818,0.3442973848,0.6557026152,0.0384344402,0,0.2689672663,0.4196275033,LINEAR
