trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
0,0.2745036839,0.3273384168,0.960126446,0.039873554,0.0180734885,0,0.9247030594,0.9955498326,LINEAR
0,0.5605712242,0.7054198801,0.8203739807,0.1796260193,0.0329470193,0,0.7557990096,0.8849489519,LINEAR
0,0.7607117161,0.7900714554,0.8203739807,0.1796260193,0.0329470193,3.3773594492,0.7557990096,0.8849489519,LINEAR
0,0.8570808533,0.8715755102,0.7926263057,0.2073736943,0.0336481647,0,0.7266771148,0.8585754966,LINEAR
0,1.0111913714,1.0125154216,0.7926263057,0.2073736943,0.0336481647,3.6519288567,0.7266771148,0.8585754966,LINEAR
0,1.0467184399,1.0672744177,0.7926263057,0.2073736943,0.0336481647,7.0988159516,0.7266771148,0.8585754966,LINEAR
0,1.0854964668,1.0948187368,0.7926263057,0.2073736943,0.0336481647,4.8246779976,0.7266771148,0.8585754966,LINEAR
0,1.1588078155,1.1759329383,0.7690628262,0.2309371738,0.0346372578,0,0.7011750483,0.8369506041,LINEAR
0,1.2343625282,1.2391873903,0.7690628262,0.2309371738,0.0346372578,2.2485651841,0.7011750483,0.8369506041,LINEAR
0,1.2537614309,1.2922842701,0.7690628262,0.2309371738,0.0346372578,1.5685896356,0.7011750483,0.8369506041,LINEAR
0,1.2983707769,1.3030440959,0.7690628262,0.2309371738,0.0346372578,3.3936928761,0.7011750483,0.8369506041,LINEAR
0,1.3379442802,1.340782594,0.7399207047,0.2600792953,0.0357316781,0,0.6698879026,0.8099535068,LINEAR
0,1.4005735837,1.4041980385,0.7399207047,0.2600792953,0.0357316781,2.1571820731,0.6698879026,0.8099535068,LINEAR
0,1.4571897435,1.459599451,0.6849368948,0.3150631052,0.037647214,0,0.6111497113,0.7587240784,LINEAR
0,1.4696248132,1.4721072302,0.6323669907,0.3676330093,0.0375742684,0,0.5587227778,0.7060112036,LINEAR
0,1.5207412513,1.5379003307,0.6323669907,0.3676330093,0.0375742684,16.455040363,0.5587227778,0.7060112036,LINEAR
